"","SITE_ID","ECO_TYPE","LAT","LON"
"289","CBP_WQX-XJH2362","River/Stream",39.3717,-76.06252
"290","CBP_WQX-XEG8593","River/Stream",38.6428,-76.178
"291","CBP_WQX-CHO0490","River/Stream",38.8506,-75.8497
"292","CBP_WQX-XDB4544","River/Stream",38.4084,-77.1103
"293","CBP_WQX-XCJ5200","River/Stream",38.2535,-75.8324
"294","CBP_WQX-XBE6753","River/Stream",38.1106,-76.5785
"295","CBP_WQX-WIW0144","River/Stream",38.3422,-75.6892
"296","CBP_WQX-XFG5054","River/Stream",38.74935,-76.24397
"297","CBP_WQX-XCD7202","River/Stream",38.2859,-76.83
"298","CBP_WQX-CHO0417","River/Stream",38.7978,-75.9316
"299","CBP_WQX-XDA0338","River/Stream",38.3383,-77.27
"300","CBP_WQX-XEI7405","River/Stream",38.6226,-75.9912
"301","CBP_WQX-AQU0037","River/Stream",38.4205,-77.3532
"302","CBP_WQX-XBF7904","River/Stream",38.1311,-76.4934
"303","CBP_WQX-XDB8278","River/Stream",38.4697,-77.0371
"304","CBP_WQX-XEA6046","River/Stream",38.6,-77.257
"305","CBP_WQX-LMN0028","River/Stream",38.20855,-75.80458
"306","CBP_WQX-XCJ6023","River/Stream",38.26713,-75.79512
"307","CBP_WQX-XEH7912","River/Stream",38.6313,-76.1469
"308","CBP_WQX-XCC8346","River/Stream",38.3054,-76.9239
"309","CBP_WQX-XFH2312","River/Stream",38.7052,-76.1468
"310","CBP_WQX-XFI1515","River/Stream",38.6914,-75.9742
"311","CBP_WQX-XBF0320","River/Stream",38.0056,-76.4679
"312","CBP_WQX-XEG5627","River/Stream",38.5933,-76.2883
"313","CBP_WQX-XDA6515","River/Stream",38.4417,-77.3083
"314","CBP_WQX-XFB8408","River/Stream",38.8079,-77.0321
"315","CBP_WQX-XJI1871","River/Stream",39.36322,-75.88233
"316","CBP_WQX-XCD3596","River/Stream",38.2246,-76.6732
"317","CBP_WQX-XCC9680","River/Stream",38.3255,-76.866
