"","LAT","LON","SITE_ID","ECO_TYPE","DATE_COL","VARIABLE","RESULT","UNIT","TROPHIC_STATE"
"27038",37.72612,-97.79422,"LAGOS_376907","Lake","2015-07-07","SULFATE",48.6,"mgl","Eutrophic"
"27039",37.72612,-97.79422,"LAGOS_376907","Lake","2015-07-07","TEMP",25.9,"degc","Eutrophic"
"27040",32.85588,-88.15446,"LAGOS_244047","Lake","2009-09-28","CHLORIDE",4.12,"mgl","Eutrophic"
"27041",31.7529,-88.13382,"LAGOS_244048","Lake","2014-09-17","CHLORIDE",18.25,"mgl","Eutrophic"
"27042",33.46417,-87.35111,"LAGOS_246088","Lake","2017-07-18","CALCIUM",20.1,"mgl","Mesotrophic"
"27043",33.46417,-87.35111,"LAGOS_246088","Lake","2017-07-18","CHLORIDE",3.91,"mgl","Mesotrophic"
"27044",37.72612,-97.79422,"LAGOS_376907","Lake","2015-08-04","SP_COND",939,"uS/cm",NA
"27045",37.72612,-97.79422,"LAGOS_376907","Lake","2015-08-04","TEMP",27.8,"degc",NA
"27046",35.89694,-79.09222,"LAGOS_154413","Lake","2004-06-25","CALCIUM",8.6,"mgl",NA
"27047",35.89694,-79.09222,"LAGOS_154413","Lake","2004-06-25","CHLORIDE",7.47,"mgl",NA
"27048",35.89694,-79.09222,"LAGOS_154413","Lake","2004-06-25","SP_COND",112,"uS/cm",NA
"27049",35.89694,-79.09222,"LAGOS_154413","Lake","2004-06-25","DO",9.7,"mgl",NA
"27050",35.89694,-79.09222,"LAGOS_154413","Lake","2004-06-25","MAGNESIUM",3.11,"mgl",NA
"27051",35.89694,-79.09222,"LAGOS_154413","Lake","2004-06-25","pH",9,NA,NA
"27052",35.89694,-79.09222,"LAGOS_154413","Lake","2004-06-25","SULFATE",4.69,"mgl",NA
"27053",35.89694,-79.09222,"LAGOS_154413","Lake","2004-06-25","TEMP",28.3,"degc",NA
"27054",37.72612,-97.79422,"LAGOS_376907","Lake","2010-12-06","SP_COND",700,"uS/cm",NA
"27055",37.72612,-97.79422,"LAGOS_376907","Lake","2010-12-06","TEMP",4.2,"degc",NA
"27056",48.0936,-113.6938,"LAGOS_459072","Lake","2007-05-24","SP_COND",137,"uS/cm",NA
"27057",48.0936,-113.6938,"LAGOS_459072","Lake","2007-05-24","DO",10.14,"mgl",NA
"27058",48.0936,-113.6938,"LAGOS_459072","Lake","2007-05-24","pH",8.21,NA,NA
"27059",48.0936,-113.6938,"LAGOS_459072","Lake","2007-05-24","TEMP",11.57,"degc",NA
"27060",38.26722,-104.73164,"LAGOS_376378","Lake","2003-04-25","SP_COND",652,"uS/cm",NA
"27061",38.26722,-104.73164,"LAGOS_376378","Lake","2003-04-25","DO",8,"mgl",NA
"27062",38.26722,-104.73164,"LAGOS_376378","Lake","2003-04-25","pH",7.9,NA,NA
"27063",38.26722,-104.73164,"LAGOS_376378","Lake","2003-04-25","TEMP",10.3,"degc",NA
"27064",33.31843,-85.58105,"LAGOS_237212","Lake","2015-10-29","CALCIUM",2.92,"mgl",NA
"27065",33.31843,-85.58105,"LAGOS_237212","Lake","2015-10-29","CHLORIDE",2.67,"mgl",NA
"27066",32.51853,-89.94125,"LAGOS_255758","Lake","2008-07-02","SP_COND",61.1,"uS/cm","Eutrophic"
"27067",32.51853,-89.94125,"LAGOS_255758","Lake","2008-07-02","DO",8.53,"mgl","Eutrophic"
"27068",32.51853,-89.94125,"LAGOS_255758","Lake","2008-07-02","pH",5.98,NA,"Eutrophic"
"27069",32.51853,-89.94125,"LAGOS_255758","Lake","2008-07-02","TEMP",28.44,"degc","Eutrophic"
"27070",33.57322,-87.20552,"LAGOS_247444","Lake","2012-04-18","CHLORIDE",3.17,"mgl","Mesotrophic"
"27071",33.46417,-87.35111,"LAGOS_246088","Lake","2007-08-21","CHLORIDE",11.77,"mgl",NA
"27072",35.89694,-79.09222,"LAGOS_154413","Lake","2015-04-14","CALCIUM",7.34,"mgl",NA
"27073",35.89694,-79.09222,"LAGOS_154413","Lake","2015-04-14","CHLORIDE",8.2,"mgl",NA
"27074",35.89694,-79.09222,"LAGOS_154413","Lake","2015-04-14","SP_COND",93,"uS/cm",NA
"27075",35.89694,-79.09222,"LAGOS_154413","Lake","2015-04-14","DO",9.9,"mgl",NA
"27076",35.89694,-79.09222,"LAGOS_154413","Lake","2015-04-14","MAGNESIUM",2.56,"mgl",NA
"27077",35.89694,-79.09222,"LAGOS_154413","Lake","2015-04-14","pH",7.4,NA,NA
"27078",35.89694,-79.09222,"LAGOS_154413","Lake","2015-04-14","SULFATE",7.15,"mgl",NA
"27079",35.89694,-79.09222,"LAGOS_154413","Lake","2015-04-14","TEMP",20.2,"degc",NA
"27080",37.72612,-97.79422,"LAGOS_376907","Lake","2009-03-25","SP_COND",851,"uS/cm",NA
"27081",37.72612,-97.79422,"LAGOS_376907","Lake","2009-03-25","TEMP",11.1,"degc",NA
"27082",37.72612,-97.79422,"LAGOS_376907","Lake","2006-09-20","SP_COND",850,"uS/cm",NA
"27083",37.72612,-97.79422,"LAGOS_376907","Lake","2006-09-20","TEMP",20.8,"degc",NA
"27084",37.72612,-97.79422,"LAGOS_376907","Lake","2009-08-05","SP_COND",772,"uS/cm",NA
"27085",37.72612,-97.79422,"LAGOS_376907","Lake","2009-08-05","TEMP",25.1,"degc",NA
"27086",37.72612,-97.79422,"LAGOS_376907","Lake","2005-02-02","SP_COND",833,"uS/cm",NA
"27087",37.72612,-97.79422,"LAGOS_376907","Lake","2005-02-02","TEMP",1.8,"degc",NA
"27088",42.43916,-122.01224,"LAGOS_473584","Lake","2005-06-29","SP_COND",112,"uS/cm",NA
"27089",42.43916,-122.01224,"LAGOS_473584","Lake","2005-06-29","DO",10.2,"mgl",NA
"27090",42.43916,-122.01224,"LAGOS_473584","Lake","2005-06-29","pH",9.3,NA,NA
