"","DATE_COL","DOC","NO3","TP","DOC_UNITS","NO3_UNITS","TP_UNITS","YEAR","LAT_DD83","LON_DD83","ECO_TYPE","SITE_ID"
"159",2008-07-15,3.17,0.55653,0.03042,"mg/L","mg N/L","mg/L",2008,39.59856332,-77.88460578,"River/Stream","NLA_158"
"160",2008-07-15,3.04,0,0.0342188,"mg/L","mg N/L","mg/L",2008,46.45774768,-110.3713081,"River/Stream","NLA_159"
"161",2008-07-15,3.930147848,NA,0.217,"mg/L","mg N/L","mg/L",2008,36.47289932,-89.43740835,"River/Stream","NLA_160"
"162",2008-07-15,3.15,0.24388,0.0185313,"mg/L","mg N/L","mg/L",2008,42.20402467,-72.59054238,"River/Stream","NLA_161"
"163",2008-07-15,4.37,0,0.0133113,"mg/L","mg N/L","mg/L",2008,44.38685019,-104.6773141,"River/Stream","NLA_162"
"164",2008-07-15,1.28,0.48879,0.0544213,"mg/L","mg N/L","mg/L",2008,41.79782893,-113.7101606,"River/Stream","NLA_163"
"165",2008-07-15,4.64,0.14712,0.0366013,"mg/L","mg N/L","mg/L",2008,44.78314819,-72.85897839,"River/Stream","NLA_164"
"166",2008-07-15,6.74,2.36542,0.05872,"mg/L","mg N/L","mg/L",2008,39.30982385,-82.96429692,"River/Stream","NLA_165"
"167",2008-07-15,0.89,0.02868,0.00326,"mg/L","mg N/L","mg/L",2008,48.25250673,-120.1167156,"River/Stream","NLA_166"
"168",2008-07-15,0.88,0.03421,0.0041963,"mg/L","mg N/L","mg/L",2008,37.77833107,-91.03216734,"River/Stream","NLA_167"
"169",2008-07-15,4.66,2.40595,0.3022338,"mg/L","mg N/L","mg/L",2008,40.11065926,-97.05786967,"River/Stream","NLA_168"
"170",2008-07-15,1.33,0.03632,0.0040863,"mg/L","mg N/L","mg/L",2008,46.86031503,-116.0390442,"River/Stream","NLA_169"
"171",2008-07-15,3.53,0,0.15484,"mg/L","mg N/L","mg/L",2008,35.04684704,-98.30825208,"River/Stream","NLA_170"
"172",2008-07-16,4.06,0.05639,0.0715725,"mg/L","mg N/L","mg/L",2008,32.97480157,-92.07643968,"River/Stream","NLA_171"
"173",2008-07-16,4.25,0.00361,0.1325113,"mg/L","mg N/L","mg/L",2008,41.13161753,-115.4997593,"River/Stream","NLA_172"
"174",2008-07-16,0.76,0.18297,0.0121963,"mg/L","mg N/L","mg/L",2008,39.6430304,-107.7110185,"River/Stream","NLA_173"
"175",2008-07-16,2.31,5.70577,0.0540963,"mg/L","mg N/L","mg/L",2008,40.31739021,-87.30044825,"River/Stream","NLA_174"
"176",2008-07-16,2.55,0.96129,0.0473175,"mg/L","mg N/L","mg/L",2008,39.17989196,-77.50736361,"River/Stream","NLA_175"
"177",2008-07-16,1.63,0.01483,0.0416313,"mg/L","mg N/L","mg/L",2008,46.93088969,-110.8698447,"River/Stream","NLA_176"
"178",2008-07-16,2.29,1.46216,0.0467613,"mg/L","mg N/L","mg/L",2008,41.04211949,-74.04730262,"River/Stream","NLA_177"
"179",2008-07-16,3.47,0.18053,0.0098288,"mg/L","mg N/L","mg/L",2008,43.35117982,-72.3934385,"River/Stream","NLA_178"
"180",2008-07-16,3.560363949,NA,0.223,"mg/L","mg N/L","mg/L",2008,36.56169695,-89.3961785,"River/Stream","NLA_179"
"181",2008-07-16,5.28,0.12703,0.3223538,"mg/L","mg N/L","mg/L",2008,44.73307352,-106.1027321,"River/Stream","NLA_180"
"182",2008-07-16,10.38,0,0.0654525,"mg/L","mg N/L","mg/L",2008,44.62541989,-105.3017111,"River/Stream","NLA_181"
"183",2008-07-16,1.56,0,0.0789863,"mg/L","mg N/L","mg/L",2008,41.79317634,-113.8369888,"River/Stream","NLA_182"
"184",2008-07-16,0.59,0.00474,0.0051913,"mg/L","mg N/L","mg/L",2008,47.46288389,-120.6610745,"River/Stream","NLA_183"
"185",2008-07-17,1.01,0.00226,0.0257963,"mg/L","mg N/L","mg/L",2008,38.78147873,-117.3401678,"River/Stream","NLA_184"
"186",2008-07-17,1.02,0.00337,0.0127788,"mg/L","mg N/L","mg/L",2008,45.11449914,-116.8564475,"River/Stream","NLA_185"
"187",2008-07-17,5.85,2.62319,0.2831063,"mg/L","mg N/L","mg/L",2008,40.86746481,-85.60817962,"River/Stream","NLA_186"
"188",2008-07-17,8.99,0.19121,0.0386425,"mg/L","mg N/L","mg/L",2008,44.02949646,-85.03818625,"River/Stream","NLA_187"
"189",2008-07-17,2.61,1.09439,0.0490113,"mg/L","mg N/L","mg/L",2008,39.06636774,-77.38957313,"River/Stream","NLA_188"
"190",2008-07-17,3.04,0.16567,0.0405438,"mg/L","mg N/L","mg/L",2008,47.49900796,-110.7164261,"River/Stream","NLA_189"
