"SITE_ID","DOC_Median","TN_Median","TP_Median"
"NLA06608-1398",19.39,624,24
"NLA06608-1401",3.5,494,29
"NLA06608-1403",5.02,389,7
"NLA06608-1413",14.8,1614,25
"NLA06608-1414",5.08,319,17
"NLA06608-1417",2.64,251,7
"NLA06608-1420",8.8,1154,112
"NLA06608-1421",9.45,1100,41
"NLA06608-1425",9.02,468,22
"NLA06608-1426",7.87,557,35
"NLA06608-1432",8.17,754,91
"NLA06608-1434",5.36,458,5
"NLA06608-1435",7.51,1260,50
"NLA06608-1436",4.75,478,20
"NLA06608-1439",3.48,273,12
"NLA06608-1445",31.07,5009,2670
"NLA06608-1446",2.14,228,4
"NLA06608-1447",7.36,760,13
"NLA06608-1450",4.65,469,10
"NLA06608-1454",16.43,2341,125
"NLA06608-1455",6.82,429,37
"NLA06608-1460",7.79,781,22
"NLA06608-1461",3.42,708,47
"NLA06608-1462",13.49,1404,450
"NLA06608-1465",1.73,497,5
"NLA06608-1469",12.85,576,112
"NLA06608-1473",2.79,181,8
"NLA06608-1476",7.57,1891,183
"NLA06608-1481",1.55,135,3
"NLA06608-1482",9.5,1099,80
"NLA06608-1483",5.96,274,13
"NLA06608-1484",1.34,105,11
"NLA06608-1487",6.22,1071,61
"NLA06608-1488",12.25,3409,160
"NLA06608-1489",7.11,721,18
"NLA06608-1492",5.92,758,41
"NLA06608-1496",4.36,356,16
"NLA06608-1499",5.61,483,17
"NLA06608-1504",4.37,1199,68
"NLA06608-1508",18.22,1680,313
"NLA06608-1510",25.67,2440,653
"NLA06608-1511",12.87,1446,373
"NLA06608-1515",6.58,845,33
"NLA06608-1517",3.47,339,14
"NLA06608-1521",6.56,1351,113
"NLA06608-1524",6.37,968,157
"NLA06608-1527",9.67,5191,587
"NLA06608-1529",5.49,649,55
"NLA06608-1532",4.05,6203,59
"NLA06608-1537",3.96,138,8
"NLA06608-1538",3.46,252,1
