"SITE_ID","Lat","Lon","DOC_Median","TN_Median","TP_Median","TNtoTP_Median"
"NWCA16-4797",37.555855,-75.690966,3.16,0.461,90,0.145886076
"NWCA16-4800",37.202869,-76.876155,6.79,0.326,70,0.048011782
"NWCA16-4828",44.862775,-72.04657,8.52,0.671,26,0.0819009055
"NWCA16-4829",44.37391,-72.17082,3.68,0.341,32,0.092663043
"NWCA16-4830",44.90072,-72.20991,17,1.27,122,0.074705882
"NWCA16-4831",42.84941,-73.20479,1.38,1.71,56,1.239130435
"NWCA16-4835",43.25262,-72.76678,9.17,0.71,40,0.07742639
"NWCA16-4836",44.62452,-73.01287,3.31,0.772,24,0.233232628
"NWCA16-4854",46.4244735,-123.883225,5.335,0.6005,75,0.1129465225
"NWCA16-4855",48.393355,-122.4844745,12.4,1.54,1477.5,0.122966793
"NWCA16-4856",46.606423,-123.679449,6.13,0.485,78,0.079119086
"NWCA16-4857",48.936174,-122.480851,9.68,1.02,152,0.105371901
"NWCA16-4861",48.145991,-124.592694,16.6,0.817,102,0.049216867
"NWCA16-4863",47.431807,-123.972642,3.78,0.289,52,0.076455026
"NWCA16-4864",46.420486,-123.890858,2.28,0.62,105,0.271929825
"NWCA16-4867",46.681484,-123.898615,6.72,0.586,100,0.087202381
"NWCA16-4872",48.305988,-122.3865,2.07,1.24,34,0.599033816
"NWCA16-4874",46.62547,-120.53497,3.74,0.289,66,0.077272727
"NWCA16-4875",46.958764,-123.634874,3.36,0.537,94,0.159821429
"NWCA16-4876",47.500578,-121.808888,14.6,0.599,30,0.041027397
"NWCA16-4877",48.031638,-124.397117,8.4,1.52,188,0.180952381
"NWCA16-4883",46.810529,-123.906547,6.42,1.019,68,0.158722741
"NWCA16-4887",47.393,-123.28656,5.43,0.226,35,0.041620626
"NWCA16-4888",48.293415,-122.382235,1.61,0.383,28,0.237888199
"NWCA16-4891",47.12900767,-123.4480467,12,2.98,54,0.248333333
"NWCA16-4894",48.181444,-117.324791,1.09,0.371,110,0.340366972
"NWCA16-4897",48.385654,-122.482614,2.11,0.37,76,0.17535545
"NWCA16-4898",48.738222,-119.930459,7.65,0.253,46,0.033071895
"NWCA16-4901",47.00809,-119.75041,4.39,6.48,114,1.476082005
"NWCA16-4903",46.957978,-123.660679,2.02,0.562,66,0.278217822
"NWCA16-4904",48.279397,-122.388157,1.35,0.455,40,0.337037037
"NWCA16-4905",48.185027,-117.295811,3.23,1.5,254,0.464396285
"NWCA16-4917",47.51106,-117.47547,9.07,3.07,396,0.338478501
