"SITE_ID","DOC_Median","NO3_Median","TP_Median"
"NRS18_IA_10003",1.97,10.8806,157.471
"NRS18_IA_10004",2.8,0.7897,200.836
"NRS18_IA_10005",3.77,8.4686,127.771
"NRS18_IA_10006",1.65,1.2154,116.324
"NRS18_IA_10007",2.63,3.7839,351.648
"NRS18_IA_10008",5.74,1.05,142.973
"NRS18_IA_10009",4.09,2.4119,281.735
"NRS18_IA_10011",1.66,9.81895,84.2795
"NRS18_IA_10012",6.14,1.02605,143.194
"NRS18_IA_10015",2.71,10.9638,140.638
"NRS18_IA_10016",2.52,6.3297,123.211
"NRS18_IA_10017",2.44,8.7712,169.191
"NRS18_IA_10018",1.69,7.6443,217.724
"NRS18_IA_10019",7.35,3.5329,159.216
"NRS18_IA_10020",1.32,13.9882,86.534
"NRS18_IA_10024",2.1,3.4936,173.006
"NRS18_IA_10025",1.85,4.6695,181.983
"NRS18_IA_10027",2.77,8.5838,225.096
"NRS18_IA_10028",3.42,7.3876,320.861
"NRS18_IA_10031",1.62,8.3613,112.03
"NRS18_IA_10032",1.45,4.6171,187.28
"NRS18_IA_10033",1.63,8.7685,109.826
"NRS18_IA_10034",3.25,8.1707,354.586
"NRS18_IA_10035",7.04,3.3536,165.466
"NRS18_IA_10042",7.51,3.3155,150.466
"NRS18_IA_10046",1.47,12.7171,70.173
"NRS18_IA_10048",5.05,0.6893,123.984
"NRS18_IA_10206",1.51,6.5309,38.129
"NRS18_IA_10356",1.59,4.9776,220.12
"NRS18_IA_10358",1.53,12.4232,124.406
"NRS18_IA_10507",0.82,2.5721,67.178
"NRS18_IA_10656",1.69,8.8032,388.336
"NRS18_IA_10658",2.88,5.0973,373.879
"NRS18_IA_10659",3.45,3.5982,227.603
"NRS18_IA_RF001",5.75,NA,128.555
"NRS18_IA_RF002",0.63,2.5223,36.585
"NRS18_IA_RF003",1.13,3.9739,75.158
"NRS18_ID_10001",2.835,0.00205,23.0105
"NRS18_ID_10002",1.9,0.01665,29.5865
"NRS18_ID_10003",0.91,0.0155,14.07
"NRS18_ID_10006",1.13,0.0021,10.813
"NRS18_ID_10007",1.4,1.1774,15.846
"NRS18_ID_10008",0.4,0.088,19.679
"NRS18_ID_10009",1.87,0.0011,16.446
"NRS18_ID_10010",1.59,8e-04,23.485
"NRS18_ID_10011",1.29,0.1617,4.024
"NRS18_ID_10012",1.49,0.0036,24.966
"NRS18_ID_10013",0.66,0.0025,9.163
"NRS18_ID_10014",1.23,0.0022,14.436
"NRS18_ID_10015",0.705,6e-04,17.4895
"NRS18_ID_10016",1.4,1.1322,54.087
"NRS18_ID_10018",1.32,0.1698,51.98
"NRS18_ID_10019",0.94,0.0804,14.18
"NRS18_ID_10020",2.11,0.0298,60.878
"NRS18_ID_10021",0.68,0.0097,9.484
"NRS18_ID_10022",0.8,0.004,13.085
"NRS18_ID_10023",1.2,0.0012,6.82
"NRS18_ID_10024",1.53,0.0017,36.026
"NRS18_ID_10025",1.96,0.2541,71.766
"NRS18_ID_10026",1.34,0.0042,20.264
"NRS18_ID_10027",1.9,0.0017,16.47
"NRS18_ID_10028",0.93,0.0017,10.47
"NRS18_ID_10035",0.94,0.0106,3.218
"NRS18_ID_10036",2.84,0.0107,94.71
"NRS18_ID_10037",1.06,0.0375,54.896
"NRS18_ID_10041",1.81,0.0052,19.609
"NRS18_ID_10042",1.88,0.6992,51.78
"NRS18_ID_10049",2.45,2e-04,22.86
"NRS18_ID_10053",0.6,0.006,9.305
"NRS18_ID_10056",0.62,0.0017,22.493
"NRS18_ID_10057",0.98,0.0195,24.129
"NRS18_ID_10080",1.87,0.6078,63.118
"NRS18_ID_10095",2.79,5e-04,17.903
"NRS18_ID_10110",1,0.0704,22.226
"NRS18_ID_10117",0.85,0.0628,30.803
"NRS18_ID_10120",0.58,0.0115,19.549
"NRS18_ID_10245",0.82,0.0016,11.043
"NRS18_ID_10280",2.12,0.0321,74.214
"NRS18_ID_10542",3.65,0.0012,106.249
"NRS18_ID_10547",2.46,0.0132,43.595
"NRS18_ID_10842",2.28,NA,62.613
"NRS18_ID_10843",1.85,0.0032,27.778
"NRS18_ID_10847",4.1,0.1271,50.681
"NRS18_ID_10992",1.22,0.0018,20.895
"NRS18_ID_11142",1.7,0.0213,17.46
"NRS18_IL_10001",2.78,1.90215,71.804
"NRS18_IL_10002",4.23,2.6407,397.8945
"NRS18_IL_10003",1.66,9.1259,137.514
"NRS18_IL_10004",3.33,0.756,95.728
"NRS18_IL_10005",8.19,1.6548,306.945
"NRS18_IL_10008",4.38,0.9358,245.175
"NRS18_IL_10009",4.83,3.3745,239.163
"NRS18_IL_10010",3.34,0.4045,165.079
"NRS18_IL_10011",4.75,4.1863,145.695
"NRS18_IL_10012",5.55,3.488,287.966
"NRS18_IL_10013",3.72,1.61965,119.4765
"NRS18_IL_10014",7.315,1.21265,246.0435
"NRS18_IL_10015",2.12,0.3743,255.833
"NRS18_IL_10016",0.98,0.0358,21.279
"NRS18_IL_10017",2.08,0.3069,35.413
"NRS18_IL_10019",4.71,0.1518,129.721
"NRS18_IL_10020",2.51,8.851,410.695
"NRS18_IL_10021",2.32,3.098,249.988
"NRS18_IL_10022",4.74,0.6553,214.586
"NRS18_IL_10023",1.77,4.3869,107.211
"NRS18_IL_10024",5.48,3.609,271.716
"NRS18_IL_10025",4.78,1.0109,477.613
"NRS18_IL_10026",7.5,NA,198.769
"NRS18_IL_10027",2.58,0.1396,99.68
"NRS18_IL_10030",7.32,0.0074,247.514
"NRS18_IL_10031",3.49,0.005,33.889
"NRS18_IL_10033",2.31,0.5005,48.275
"NRS18_IL_10035",2.13,3.537,208.336
"NRS18_IL_10036",2.35,0.1633,139.168
"NRS18_IL_10037",4.31,0.0018,172.439
"NRS18_IL_10040",4.73,0.1564,144.615
"NRS18_IL_10041",2.45,9.4074,121.07
"NRS18_IL_10042",4.55,0.4558,204.229
"NRS18_IL_10044",4.48,0.0352,423.555
"NRS18_IL_10054",1.85,4.4837,58.764
"NRS18_IL_10363",1.37,11.6011,24.389
"NRS18_IL_10364",4.24,0.2309,157.966
"NRS18_IL_10366",3.1,3.5982,72.676
"NRS18_IL_10514",1.84,2.146,74.913
"NRS18_IL_10968",2.13,3.9363,136.188
"NRS18_IL_10971",1.68,10.9038,21.341
"NRS18_IL_11563",5.56,0.3927,261.654
"NRS18_IL_11565",3.25,0.4545,152.306
"NRS18_IL_11715",2,2.799,163.636
"NRS18_IN_10001",4.655,3.11215,124.5905
