"SITE_ID","Lat","Lon","DOC_Median","TN_Median","TP_Median"
"NLA06608-0495",38.4468179,-107.4380582,2.26,136,11
"NLA06608-0496",48.7517132,-108.0524686,41.92,4372,620
"NLA06608-0497",42.1076527,-111.8159376,1.44,156,17
"NLA06608-0498",41.9509552,-71.9513309,3.66,820,44
"NLA06608-0500",34.2145297,-94.2146709,2.51,266,21
"NLA06608-0501",37.9463519,-122.6247455,3.05,182,6
"NLA06608-0502",42.8273138,-83.7469401,7.37,648,5
"NLA06608-0503",43.5747743,-97.0587349,17.18,5916,430
"NLA06608-0508",33.8586211,-90.5420987,6.91,756,283
"NLA06608-0509",40.4616335,-79.5674543,2,821,4
"NLA06608-0510",48.2477538,-98.8914836,16.28,2916,165
"NLA06608-0511",38.2255509,-107.5377617,1.14,112,13
"NLA06608-0512",48.9243478,-100.3053493,27.8,2447,61
"NLA06608-0514",40.3574093,-78.1190735,2.36,1009,7
"NLA06608-0515",46.0279301,-98.9448475,26.13,4984,335
"NLA06608-0523",43.9236897,-96.9510362,11.03,1738,115
"NLA06608-0526",47.9485009,-91.3929614,14.15,651,17
"NLA06608-0528",40.6951802,-99.85564,5.25,814,65
"NLA06608-0529",47.1844144,-119.3639845,3.28,508,42
"NLA06608-0530",31.0598838,-81.4130868,4.78,1016,117
"NLA06608-0531",46.0340736,-99.1679106,23.96,2697,57
"NLA06608-0533",42.2521803,-78.2923708,2.33,178,6
"NLA06608-0537",37.6955888,-81.0548323,2.01,256,11
"NLA06608-0540",35.1710432,-99.3711523,9.72,2250,235
"NLA06608-0541",38.9650435,-77.3374568,3.99,329,14
"NLA06608-0542",45.7857507,-88.3657935,13.49,1303,15
"NLA06608-0546",42.3549666,-71.4797893,5.61,4022,181
"NLA06608-0547",44.2067283,-89.8348641,6.34,519,10
"NLA06608-0550",43.9575273,-71.9679131,2.48,234,1
"NLA06608-0551",45.1082347,-94.1680192,6.68,1361,54
"NLA06608-0555",41.7209286,-85.0076901,5.65,578,8
"NLA06608-0558",46.7633039,-96.2151878,11.8,1154,17
"NLA06608-0560",35.6185888,-101.6607655,4.75,532,27
"NLA06608-0561",44.9484358,-116.0893222,1.99,86,5
"NLA06608-0562",41.6868681,-71.6108784,4.1,307,6.5
"NLA06608-0564",35.9747259,-105.9168212,4.09,217,14
"NLA06608-0565",37.2452592,-121.9668773,4.02,704,81
"NLA06608-0569",34.6051754,-112.4389242,17.75,2188,518
"NLA06608-0570",45.4421355,-109.2242066,3.57,300,12
"NLA06608-0579",46.8246971,-99.7794296,23.78,2694,229
"NLA06608-0580",37.1771885,-82.3910488,2.39,183,10
"NLA06608-0581",43.2526386,-114.3827885,2.68,241,8
"NLA06608-0582",41.8007937,-72.5246839,3.31,2709,315
"NLA06608-0583",31.2062744,-91.5469012,14.18,4897,590
"NLA06608-0585",39.4865853,-118.7255216,3.02,505,105
"NLA06608-0587",41.2184867,-86.591156,6.965,1212,29.5
"NLA06608-0588",39.3320249,-97.374823,6,1729,589
"NLA06608-0590",45.9076374,-89.9169627,6.17,884,46
"NLA06608-0591",34.1376116,-84.6432365,1.91,182,5
"NLA06608-0593",48.7086784,-122.3277089,3.37,203,4
"NLA06608-0594",32.3783416,-82.0648507,10.67,821,41
"NLA06608-0595",45.8121509,-99.7660399,26.23,3828,258
"NLA06608-0596",39.0798636,-106.3650807,1.29,96,1
"NLA06608-0597",43.5470582,-116.6654946,2.84,361,22
"NLA06608-0599",30.2900887,-96.5978144,8.49,1012,90
"NLA06608-0606",45.9726285,-90.5081642,8.4,708,15
"NLA06608-0608",36.590093,-89.269751,6.89,2184,327
"NLA06608-0609",28.0612687,-82.2772918,14.15,3334,239
"NLA06608-0610",42.6913209,-71.3703595,4.13,549,11
"NLA06608-0611",42.9654707,-89.2518517,5.96,903,53
"NLA06608-0614",43.3786445,-123.2686178,2.82,259,8
"NLA06608-0616",36.7248092,-98.8888812,6.09,483,14
"NLA06608-0617",35.06361,-111.4965509,6.36,513,40
"NLA06608-0618",31.4484229,-86.4372834,4.49,257,23
"NLA06608-0619",42.3238266,-85.4673404,4.58,733,7
"NLA06608-0622",45.8817409,-95.3323426,6.51,508,16
"NLA06608-0623",41.0622713,-81.3173002,4.75,628,43
"NLA06608-0624",39.3768334,-89.0274353,6.13,1274,49
"NLA06608-0625",44.9542938,-118.185992,1.46,55,1
"NLA06608-0627",44.8867517,-88.4801185,7.61,616,11
"NLA06608-0628",35.7595614,-105.1444706,7.37,793,40
"NLA06608-0630",46.3005836,-87.7793582,8.23,771,8
"NLA06608-0632",38.3572353,-94.6351418,6.06,746,44
"NLA06608-0634",47.9249493,-101.229344,44.7,6800,288
"NLA06608-0635",40.3364973,-105.1268527,3.33,224,18
"NLA06608-0637",40.133912,-111.0580729,3.99,454,21
"NLA06608-0641",48.4187734,-117.6640499,6.27,737,49
"NLA06608-0648",42.2677009,-99.2483213,73.44,8603,349
"NLA06608-0649",38.4760354,-119.9997761,2.01,95,9
"NLA06608-0650",44.6420992,-111.3963618,4.27,466,23
"NLA06608-0651",33.4683515,-86.6444545,2.78,290,12
"NLA06608-0654",45.9873823,-89.3504654,9.06,698,22
"NLA06608-0657",46.1679098,-69.0020605,7.43,559,20
"NLA06608-0658",44.0238351,-124.0796101,1.82,110,5
"NLA06608-0659",48.1880738,-98.0662251,12.8,1593,432
"NLA06608-0660",39.7157192,-86.2116285,4,1546,8
"NLA06608-0661",41.5554953,-75.7070487,3.86,601,22
"NLA06608-0662",45.0802966,-71.3518879,2.88,256,12
"NLA06608-0663",44.927213,-97.4398273,27.7,6603,618
"NLA06608-0665",35.052465,-79.2086726,2.8,86,1
"NLA06608-0671",40.6897493,-110.3847622,1.21,380,19
"NLA06608-0672",38.7017979,-90.0950275,7.51,2273,213
