"SITE_ID","Lat","Lon","DOC_Median","TN_Median","TP_Median","TNtoTP_Median"
"NYS9-0935",42.4942,-75.57194,5.45,435,38,11.44736842
"NYS9-0936",44.49954,-74.88522,8.87,520,32,16.25
"NYS9-0937",44.6575,-74.00524,3.68,328,33,9.939393939
"NYSS-1236",42.3999,-79.44188,3.63,541,36,15.02777778
"NYSS-1237",43.24839,-78.23876,5.03,2680,103,26.01941748
"NYSS-1238",43.12556,-75.58383,6.01,1036,112,9.25
"NYSS-1239",43.30763,-73.63245,3.72,399,18,22.16666667
"NYSS-1241",43.5808,-75.95908,15.19,771,41,18.80487805
"NYSS-1242",42.31599,-74.32653,1.44,96,27,3.555555556
"NYSS-1245",42.72312,-76.46325,4.11,1963,113,17.37168142
"NYSS-1249",43.76854,-75.50135,2.02,769,30,25.63333333
"NYSS-1251",42.03475,-77.55209,3.07,371,141,2.631205674
"NYSS-1252",42.45469,-78.48087,1.54,1268,30,42.26666667
"NYSS-1253",42.60283,-78.19505,3.7,339,35,9.685714286
"NYSS-1255",42.55374,-73.82504,5.4,334,123,2.715447154
"NYSS-1258",43.03249,-74.65623,7.37,516,24,21.5
"OHLS-1068",39.33002,-82.26817,2.37,298,26,11.46153846
"OHLS-1069",41.51412,-80.73366,9.56,2064,146,14.1369863
"OHLS-1070",41.12102,-81.51976,6.47,1896,90,21.06666667
"OHLS-1071",39.61589,-81.92661,3.53,1515,53,28.58490566
"OHLS-1073",41.15671,-81.04802,4.92,489,25,19.56
"OHLS-1074",40.86244,-82.24619,2.11,1570,51,30.78431373
"OHR9-0901",39.30982,-82.9643,2.815,3428,55.5,62.12621832
"OHR9-0902",40.26612,-81.87411,2.355,1684,123.5,14.11447368
"OHR9-0903",40.58128,-81.39514,3.32,3094,346,8.942196532
"OHR9-0904",39.13619,-84.34206,2.9,2493,197,12.65482234
"OHR9-0905",39.46603,-81.48059,3.67,1469,137,10.72262774
"OHR9-0906",38.82668,-83.01769,4.29,4363,214,20.38785047
"OHR9-0907",41.02829,-83.21295,4.32,7863,177,44.42372881
"OHR9-0908",41.20854,-80.81059,5.71,1021,87,11.73563218
"OHRF-0001",39.24005,-82.76363,1.65,550,23,23.91304348
"OHRF-0002",41.18563,-82.42516,7.91,1819,141,12.90070922
"OHRF-0003",39.72161,-83.88091,1.9,1580,46.4,34.05172414
"OHRM-1001",41.2338,-84.59052,6.9,5563,161,34.55279503
"OHRM-1002",40.14887,-80.70356,1.91,845,24,35.20833333
"OHRM-1003",39.41065,-82.98479,4.45,6156,341,18.05278592
"OHRM-1004",39.68934,-84.25809,2.72,2770,275,10.07272727
"OHRM-1005",41.19717,-84.70796,6.58,5050,303,16.66666667
"OHRO-1031",40.52083,-81.30616,2.25,1055,74,14.25675676
"OHRO-1032",41.17577,-80.72513,5.9,1716,129,13.30232558
"OHRO-1033",41.44082,-83.03139,5.67,2780,273,10.18315018
"OHRO-1034",39.90839,-84.29816,3.65,1690,164,10.30487805
"OHRO-1035",40.63326,-81.54266,3.32,3800,237,16.03375527
"OHRO-1036",41.24697,-81.55581,5.18,4813,192,25.06770833
"OHS9-0914",40.70663,-80.79918,1.995,328.5,31.5,10.054210525
"OHS9-0915",39.74567,-81.84162,5.325,529,91,5.835387324
"OHS9-0916",41.79363,-80.82266,15.07,1284,279,4.602150538
"OHS9-0918",41.15906,-81.81774,4.99,374,19,19.68421053
"OHS9-0919",40.37315,-81.21327,3.15,813,138,5.891304348
"OHS9-0920",41.79621,-80.91776,8.42,1041,115,9.052173913
"OHS9-0921",40.01636,-83.25297,5.21,3313,153,21.65359477
"OHS9-0922",39.97946,-82.38165,3.68,3731,360,10.36388889
"OHS9-0923",40.75689,-82.11641,10.52,1445,215,6.720930233
"OHSS-1122",41.02658,-82.78515,21.18,4288,421,10.18527316
"OHSS-1123",41.39327,-84.29579,5,5625,43,130.8139535
"OHSS-1124",40.31965,-84.63034,8.42,20563,441,46.62811791
"OHSS-1125",39.57122,-84.66835,1.53,5125,91,56.31868132
"OHSS-1127",41.38763,-81.26877,7.53,641,89,7.202247191
"OKLS-1176",34.06699,-94.90529,3.74,224,40.4,5.544554455
"OKLS-1181",35.14815,-94.7019,4.49,499,70,7.128571429
"OKLS-1182",34.75613,-96.38302,6,795,178,4.466292135
"OKLS-1203",35.92513,-96.71988,5.46,656,67,9.791044776
"OKLS-1204",34.17387,-96.08742,6.74,1093,156,7.006410256
"OKLS-1209",34.30293,-95.65807,8.35,729,103,7.077669903
"OKLS-1222",34.44337,-99.65264,4.47,2034,187,10.87700535
