"","DATE_COL","SITE_ID","LAT","LON","ECO_TYPE","DOC","NO3 as N","PO4 as P","UNITS"
"238",2011,"EU_1537","52.13589","9.76159","River/Stream",3.95,3.586572671148,0.06,"mg/L"
"239",2012,"EU_1537","52.13589","9.76159","River/Stream",3.6875,3.40020162,0.075833,"mg/L"
"240",2011,"EU_1541","51.03731","4.07721","River/Stream",8.375,2.74186258281,0.2167,"mg/L"
"241",2012,"EU_1542","55.5019","-3.15866","Lake",5.1422,0.0740043882,0.004,"mg/L"
"242",2010,"EU_1545","52.24773","9.8286","River/Stream",2.51667,3.933563246469,0.053333,"mg/L"
"243",2011,"EU_1545","52.24773","9.8286","River/Stream",3.13333,3.808555833969,0.06,"mg/L"
"244",2012,"EU_1545","52.24773","9.8286","River/Stream",2.775,3.141856301031,0.065,"mg/L"
"245",2012,"EU_1546","56.65393","-2.7776","Lake",4.81333,2.32083761751,0.0095,"mg/L"
"246",2010,"EU_1550","52.50964","9.46636","River/Stream",3.6875,4.141915601031,0.059167,"mg/L"
"247",2011,"EU_1550","52.50964","9.46636","River/Stream",4.20455,3.654766714815,0.062273,"mg/L"
"248",2012,"EU_1550","52.50964","9.46636","River/Stream",3.80417,3.416872608531,0.078333,"mg/L"
"249",2012,"EU_1551","56.48109","-5.97737","Lake",2.0823,0.13590805887,0.0045,"mg/L"
"250",2011,"EU_1555","50.76183","3.8669","River/Stream",7.7583,2.51684924031,0.3183,"mg/L"
"251",2012,"EU_1556","56.54821","-6.04302","Lake",2.7224,0.12250726425,0.0045,"mg/L"
"252",2011,"EU_1559","50.8011","3.18859","River/Stream",7.9091,3.04188037281,0.7558,"mg/L"
"253",2010,"EU_1560","52.92435","9.22471","River/Stream",6.66364,3.187148986728,0.037087,"mg/L"
"254",2012,"EU_1561","55.79891","-6.41633","Lake",12.1925,0.10190604267,0.004,"mg/L"
"255",2012,"EU_1567","51.32546","3.2294","River/Stream",15.3083,2.4851473605,0.3935,"mg/L"
"256",2011,"EU_1560","52.92435","9.22471","River/Stream",5.2375,2.69145959409,0.03225,"mg/L"
"257",2012,"EU_1560","52.92435","9.22471","River/Stream",5.92083,2.51264899125,0.036,"mg/L"
"258",2012,"EU_1568","56.21784","-4.67667","Lake",3.4529,0.0740043882,0.004,"mg/L"
"259",2010,"EU_1571","53.00301","8.57217","River/Stream",6.21667,2.8751704875,0.02,"mg/L"
"260",2011,"EU_1571","53.00301","8.57217","River/Stream",7.3,4.408591413969,0.028583,"mg/L"
"261",2012,"EU_1571","53.00301","8.57217","River/Stream",5.90833,2.533480226469,0.023417,"mg/L"
