"","DATE_COL","SITE_ID","LON","LAT","UNIT","ECO_TYPE","TROPHIC_STATE","VARIABLE","RESULT"
"146",2007-09-05,"NLA_CT-10002",-73.36398551,41.69699293,"mg/L","Lake","Mesotrophic","NO3 as N",0.0025
"147",2007-09-05,"NLA_CT-10002",-73.36398551,41.69699293,"mg/L","Lake","Mesotrophic","TP",0.0125
"148",2007-07-12,"NLA_VT-10004",-71.86971736,44.79759122,"mg/L","Lake","Oligotrophic","DOC",3.27
"149",2007-07-12,"NLA_VT-10004",-71.86971736,44.79759122,"mg/L","Lake","Oligotrophic","NO3 as N",0.036
"150",2007-07-12,"NLA_VT-10004",-71.86971736,44.79759122,"mg/L","Lake","Oligotrophic","TP",0.004
"151",2007-08-27,"NLA_VT-10004",-71.86971736,44.79759122,"mg/L","Lake","Oligotrophic","DOC",3.325
"152",2007-08-27,"NLA_VT-10004",-71.86971736,44.79759122,"mg/L","Lake","Oligotrophic","NO3 as N",0.0025
"153",2007-08-27,"NLA_VT-10004",-71.86971736,44.79759122,"mg/L","Lake","Oligotrophic","TP",0.003
"154",2007-06-12,"NLA_WV-10003",-80.85405519,38.22694093,"mg/L","Lake","Oligotrophic","DOC",1.24
"155",2007-06-12,"NLA_WV-10003",-80.85405519,38.22694093,"mg/L","Lake","Oligotrophic","NO3 as N",0.376
"156",2007-06-12,"NLA_WV-10003",-80.85405519,38.22694093,"mg/L","Lake","Oligotrophic","TP",0.001
"157",2007-07-11,"NLA_WV-10003",-80.85405519,38.22694093,"mg/L","Lake","Oligotrophic","DOC",1.585
"158",2007-07-11,"NLA_WV-10003",-80.85405519,38.22694093,"mg/L","Lake","Oligotrophic","NO3 as N",0.328
"159",2007-07-11,"NLA_WV-10003",-80.85405519,38.22694093,"mg/L","Lake","Oligotrophic","TP",0.001
"160",2007-06-22,"NLA_WY-10002",-107.0403753,44.45823517,"mg/L","Lake","Mesotrophic","DOC",4.77
"161",2007-06-22,"NLA_WY-10002",-107.0403753,44.45823517,"mg/L","Lake","Mesotrophic","NO3 as N",0.0025
"162",2007-06-22,"NLA_WY-10002",-107.0403753,44.45823517,"mg/L","Lake","Mesotrophic","TP",0.016
"163",2007-07-06,"NLA_WY-10002",-107.0403753,44.45823517,"mg/L","Lake","Oligotrophic","DOC",3.2
"164",2007-07-06,"NLA_WY-10002",-107.0403753,44.45823517,"mg/L","Lake","Oligotrophic","NO3 as N",0.005
"165",2007-07-06,"NLA_WY-10002",-107.0403753,44.45823517,"mg/L","Lake","Oligotrophic","TP",0.005
"166",2007-07-31,"NLA_IN-10002",-85.44424168,41.553395,"mg/L","Lake","Oligotrophic","DOC",7.22
"167",2007-07-31,"NLA_IN-10002",-85.44424168,41.553395,"mg/L","Lake","Oligotrophic","NO3 as N",0.005
"168",2007-07-31,"NLA_IN-10002",-85.44424168,41.553395,"mg/L","Lake","Oligotrophic","TP",0.009
"169",2007-08-15,"NLA_IN-10002",-85.44424168,41.553395,"mg/L","Lake","Mesotrophic","DOC",7.25
"170",2007-08-15,"NLA_IN-10002",-85.44424168,41.553395,"mg/L","Lake","Mesotrophic","NO3 as N",0.005
"171",2007-08-15,"NLA_IN-10002",-85.44424168,41.553395,"mg/L","Lake","Mesotrophic","TP",0.011
"172",2007-07-18,"NLA_NE-10011",-101.7024805,42.4048448,"mg/L","Lake","Eutrophic","DOC",16.68
"173",2007-07-18,"NLA_NE-10011",-101.7024805,42.4048448,"mg/L","Lake","Eutrophic","NO3 as N",0.005
