"","DATE_COL","SITE_ID","LAT","LON","ECO_TYPE","VARIABLE","UNIT","RESULT","TROPHIC_STATE"
"119","2014-05-20T00:00:00Z","QU02LB9001",45.5676,-74.3799,"River/Stream","CHLORIDE","mg/L",5.146,"Eutrophic"
"120","2014-05-28T00:00:00Z","QU02PH9024",46.8071,-71.19,"River/Stream","CHLORIDE","mg/L",14.939,"Eutrophic"
"121","2014-06-02T00:00:00Z","QU02OD9009",46.3116,-72.546,"River/Stream","CHLORIDE","mg/L",17.024,"Eutrophic"
"122","2014-06-03T00:00:00Z","QU02NG3013",46.382,-72.6105,"River/Stream","CHLORIDE","mg/L",1.099,"Mesotrophic"
"123","2014-06-05T00:00:00Z","QU02OB9004",45.8744,-73.2806,"River/Stream","CHLORIDE","mg/L",10.091,"Eutrophic"
"124","2014-06-09T00:00:00Z","QU02OJ0052",46.034,-73.1176,"River/Stream","CHLORIDE","mg/L",13.69,"Eutrophic"
"125","2014-06-10T00:00:00Z","QU02LB9001",45.5676,-74.3799,"River/Stream","CHLORIDE","mg/L",3.46,"Mesotrophic"
"126","2014-06-11T00:00:00Z","QU02PH9024",46.8071,-71.19,"River/Stream","CHLORIDE","mg/L",15.818,"Eutrophic"
"127","2014-06-17T00:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","CHLORIDE","mg/L",0.188,"Mesotrophic"
"128","2014-06-26T00:00:00Z","QU02PH9024",46.8071,-71.19,"River/Stream","CHLORIDE","mg/L",17.332,"Eutrophic"
"129","2014-07-03T00:00:00Z","QU02OD9009",46.3116,-72.546,"River/Stream","CHLORIDE","mg/L",19.382,"Eutrophic"
"130","2014-07-07T00:00:00Z","QU02LB9001",45.5676,-74.3799,"River/Stream","CHLORIDE","mg/L",6.085,"Eutrophic"
"131","2014-07-08T00:00:00Z","QU02OD3004",46.2454,-72.6512,"River/Stream","CHLORIDE","mg/L",19.284,"Eutrophic"
"132","2014-07-08T00:00:00Z","QU02OF3004",46.0664,-72.8122,"River/Stream","CHLORIDE","mg/L",14.076,"Eutrophic"
"133","2014-07-08T00:00:00Z","QU02OG3007",46.0051,-72.9101,"River/Stream","CHLORIDE","mg/L",25.899,"Eutrophic"
"134","2014-07-09T00:00:00Z","QU02PH9024",46.8071,-71.19,"River/Stream","CHLORIDE","mg/L",19.768,"Eutrophic"
"135","2014-07-10T00:00:00Z","QU02NG3013",46.382,-72.6105,"River/Stream","CHLORIDE","mg/L",1.635,"Mesotrophic"
"136","2014-07-14T00:00:00Z","QU02OJ0052",46.034,-73.1176,"River/Stream","CHLORIDE","mg/L",13.676,"Eutrophic"
"137","2014-07-15T00:00:00Z","QU02OD3004",46.2454,-72.6512,"River/Stream","CHLORIDE","mg/L",20.736,"Eutrophic"
"138","2014-07-15T00:00:00Z","QU02OF3004",46.0664,-72.8122,"River/Stream","CHLORIDE","mg/L",14.56,"Mesotrophic"
"139","2014-07-15T00:00:00Z","QU02OG3007",46.0051,-72.9101,"River/Stream","CHLORIDE","mg/L",30.837,"Eutrophic"
