"","LAT","LON","SITE_ID","ECO_TYPE","DATE_COL","VARIABLE","RESULT","UNIT"
"134",38.59432,-75.29099,"LAGOS_142130","Lake",2015-03-11,"tss",4,"mg/L"
"135",38.59432,-75.29099,"LAGOS_142130","Lake",2015-06-24,"DOC",3.7,"mg/L"
"136",38.59432,-75.29099,"LAGOS_142130","Lake",2015-06-24,"turb_ntu",3,"ntu"
"137",38.59432,-75.29099,"LAGOS_142130","Lake",2015-06-24,"secchi_m",0.9,"m"
"138",38.59432,-75.29099,"LAGOS_142130","Lake",2015-06-24,"tss",3,"mg/L"
"139",32.51853,-89.94125,"LAGOS_255758","Lake",2004-10-26,"DOC",7,"mg/L"
"140",32.51853,-89.94125,"LAGOS_255758","Lake",2004-10-26,"secchi_m",0.5,"m"
"141",38.59432,-75.29099,"LAGOS_142130","Lake",2016-07-25,"DOC",5.1,"mg/L"
"142",38.59432,-75.29099,"LAGOS_142130","Lake",2016-07-25,"turb_ntu",3,"ntu"
"143",38.59432,-75.29099,"LAGOS_142130","Lake",2016-07-25,"secchi_m",0.9,"m"
"144",38.59432,-75.29099,"LAGOS_142130","Lake",2016-07-25,"tss",7,"mg/L"
"145",38.59432,-75.29099,"LAGOS_142130","Lake",2016-06-21,"DOC",3.9,"mg/L"
"146",38.59432,-75.29099,"LAGOS_142130","Lake",2016-06-21,"turb_ntu",3,"ntu"
"147",38.59432,-75.29099,"LAGOS_142130","Lake",2016-06-21,"secchi_m",1.6,"m"
"148",38.59432,-75.29099,"LAGOS_142130","Lake",2016-06-21,"tss",5,"mg/L"
"149",34.59528,-112.4166,"LAGOS_454733","Lake",2011-07-20,"DOC",5.2,"mg/L"
"150",34.59528,-112.4166,"LAGOS_454733","Lake",2011-07-20,"secchi_m",5.5,"m"
"151",34.59528,-112.4166,"LAGOS_454733","Lake",2011-07-20,"tss",10,"mg/L"
"152",34.5978,-93.3997,"LAGOS_292017","Lake",2011-08-08,"DOC",3.64,"mg/L"
"153",34.5978,-93.3997,"LAGOS_292017","Lake",2011-08-08,"turb_ntu",1.7,"ntu"
"154",34.5978,-93.3997,"LAGOS_292017","Lake",2011-08-08,"secchi_m",3.48996,"m"
"155",34.95312,-93.16202,"LAGOS_391873","Lake",2016-03-15,"DOC",4.58,"mg/L"
"156",34.95312,-93.16202,"LAGOS_391873","Lake",2016-03-15,"turb_ntu",29.3,"ntu"
"157",34.95312,-93.16202,"LAGOS_391873","Lake",2016-03-15,"secchi_m",0.2286,"m"
"158",34.95312,-93.16202,"LAGOS_391873","Lake",2016-03-15,"tss",6.5,"mg/L"
"159",39.19177,-77.00463,"LAGOS_142407","Lake",2007-12-17,"DOC",3.19,"mg/L"
"160",39.19177,-77.00463,"LAGOS_142407","Lake",2007-12-17,"turb_ntu",6.5,"ntu"
"161",39.19177,-77.00463,"LAGOS_142407","Lake",2007-12-17,"tss",6,"mg/L"
"162",39.19177,-77.00463,"LAGOS_142407","Lake",2007-10-15,"DOC",3.04,"mg/L"
"163",39.19177,-77.00463,"LAGOS_142407","Lake",2007-10-15,"turb_ntu",2.4,"ntu"
"164",39.19177,-77.00463,"LAGOS_142407","Lake",2007-10-15,"tss",3.2,"mg/L"
"165",35.10417,-93.65028,"LAGOS_390649","Lake",2013-09-16,"DOC",5.53,"mg/L"
"166",35.10417,-93.65028,"LAGOS_390649","Lake",2013-09-16,"turb_ntu",21.2,"ntu"
"167",35.10417,-93.65028,"LAGOS_390649","Lake",2013-09-16,"secchi_m",0.50292,"m"
"168",35.10417,-93.65028,"LAGOS_390649","Lake",2013-09-16,"tss",17.5,"mg/L"
"169",39.43227,-76.3107,"LAGOS_142824","Lake",2002-05-30,"DOC",9.05,"mg/L"
"170",39.43227,-76.3107,"LAGOS_142824","Lake",2002-05-30,"secchi_m",1,"m"
"171",39.43227,-76.3107,"LAGOS_142824","Lake",2002-05-30,"tss",4.7,"mg/L"
"172",33.59443,-86.21167,"LAGOS_236199","Lake",2004-07-20,"DOC",3.338,"mg/L"
"173",33.59443,-86.21167,"LAGOS_236199","Lake",2004-07-20,"turb_ntu",14.2,"ntu"
