"SITE_NO","DATE_TIME_HEURE","FLAG_MARQUEUR","VALUE_VALEUR","SDL_LDE","MDL_LDM","VMV_CODE","UNIT_UNITE","VARIABLE","VARIABLE_FR","STATUS_STATUT"
"MA05PF0022","2002-01-16 11:15","","6.0000","","","16306","MG/L","SULPHATE DISSOLVED","SULPHATES DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","",".1000","","","109028","DEG C","TEMPERATURE WATER","TEMPÉRATURE DE L'EAU","P"
"MA05PF0022","2002-01-16 11:15","","59.1470","","","202","MG/L","TOTAL DISSOLVED SOLIDS (CALCD.)","SOLIDES DISSOUS TOTAUX (CALC.)","P"
"MA05PF0022","2002-01-16 11:15","<","4.1400","","","103663","NG/L","TRIALLATE","TRIALLATE","P"
"MA05PF0022","2002-01-16 11:15","<","5.1500","","","103658","NG/L","TRIFLURALIN","TRIFLURALINE","P"
"MA05PF0022","2002-01-16 11:15","","6.0000","","","110001","NTU","TURBIDITY","TURBIDITÉ","P"
"MA05PF0022","2002-01-16 11:15","","4.2000","","","2081","NTU","TURBIDITY","TURBIDITÉ","P"
"MA05PF0022","2002-01-16 11:15","<",".0010","","","100209","MG/L","VANADIUM DISSOLVED","VANADIUM DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","",".0007","","","100230","MG/L","VANADIUM TOTAL","VANADIUM TOTAL","P"
"MA05PF0022","2002-01-16 11:15","",".0020","","","100210","MG/L","ZINC DISSOLVED","ZINC DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","",".0006","","","100231","MG/L","ZINC TOTAL","ZINC TOTAL","P"
"MA05PF0022","2002-02-13 15:20","","44.1000","","","10111","MG/L","ALKALINITY TOTAL CACO3","ALCALINITÉ TOTALE CACO3","P"
"MA05PF0022","2002-02-13 15:20","",".0080","","","7540","MG/L","AMMONIA DISSOLVED","AZOTE AMMONIACAL DISSOUS","P"
"MA05PF0022","2002-02-13 15:20","",".0000","","","7570","MG/L","AMMONIA UN-IONIZED (CALCD.)","AZOTE AMMONIACAL NON IONISÉ (CALC.)","P"
"MA05PF0022","2002-02-13 15:20","","53.7580","","","6201","MG/L","BICARBONATE (CALCD.)","BICARBONATE (CALC.)","P"
"MA05PF0022","2002-02-13 15:20","","13.5000","","","20103","MG/L","CALCIUM DISSOLVED","CALCIUM DISSOUS","P"
"MA05PF0022","2002-02-13 15:20","","1.9050","","","6401","MG/L","CARBON DIOXIDE FREE (CALC)","DIOXYDE DE CARBONE LIBRE (CALC.)","P"
"MA05PF0022","2002-02-13 15:20","","10.2000","","","6104","MG/L","CARBON DISSOLVED ORGANIC","CARBONE ORGANIQUE DISSOUS","P"
"MA05PF0022","2002-02-13 15:20","",".0890","","","6901","MG/L","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P"
"MA05PF0022","2002-02-13 15:20","","10.2890","","","6002","MG/L","CARBON TOTAL ORGANIC (CALCD.)","CARBONE ORGANIQUE TOTAL (CALC.)","P"
"MA05PF0022","2002-02-13 15:20","",".0000","","","6301","MG/L","CARBONATE (CALCD.)","CARBONATE (CALC)","P"
